Time,WorkingSetBytes,PrivateBytes
2025-11-14T23:35:04.3331462+05:30,16384,2646016
2025-11-14T23:35:05.3779172+05:30,16384,2646016
2025-11-14T23:35:06.4032979+05:30,16384,2646016
2025-11-14T23:35:07.4163672+05:30,16384,2646016
2025-11-14T23:35:08.4305716+05:30,16384,2646016
2025-11-14T23:35:09.4494321+05:30,16384,2646016
2025-11-14T23:35:10.4679629+05:30,16384,2646016
2025-11-14T23:35:11.4826560+05:30,16384,2646016
2025-11-14T23:35:12.4982429+05:30,16384,2646016
2025-11-14T23:35:13.5250412+05:30,16384,2646016
2025-11-14T23:35:14.5399026+05:30,16384,2646016
2025-11-14T23:35:15.5582898+05:30,16384,2646016
2025-11-14T23:35:16.5712089+05:30,16384,2646016
2025-11-14T23:35:17.5945087+05:30,16384,2646016
2025-11-14T23:35:18.6080955+05:30,16384,2646016
2025-11-14T23:35:19.6223659+05:30,16384,2646016
2025-11-14T23:35:20.6370462+05:30,16384,2646016
2025-11-14T23:35:21.6482967+05:30,16384,2646016
2025-11-14T23:35:22.6773050+05:30,16384,2646016
2025-11-14T23:35:23.7003736+05:30,16384,2646016
2025-11-14T23:35:24.7141464+05:30,16384,2646016
2025-11-14T23:35:25.7413406+05:30,16384,2646016
2025-11-14T23:35:26.7556822+05:30,16384,2646016
2025-11-14T23:35:27.7671928+05:30,16384,2646016
2025-11-14T23:35:28.7898976+05:30,16384,2646016
2025-11-14T23:35:29.8147519+05:30,16384,2646016
2025-11-14T23:35:30.8271249+05:30,16384,2646016
2025-11-14T23:35:31.8445303+05:30,16384,2646016
2025-11-14T23:35:32.8612225+05:30,16384,2646016
2025-11-14T23:35:33.8768500+05:30,16384,2646016
2025-11-14T23:35:34.8878541+05:30,16384,2646016
2025-11-14T23:35:35.9012472+05:30,16384,2646016
2025-11-14T23:35:36.9154218+05:30,16384,2646016
2025-11-14T23:35:37.9296510+05:30,16384,2646016
2025-11-14T23:35:38.9418923+05:30,16384,2646016
2025-11-14T23:35:39.9623705+05:30,16384,2646016
2025-11-14T23:35:40.9861291+05:30,16384,2646016
2025-11-14T23:35:42.0043341+05:30,16384,2646016
2025-11-14T23:35:43.0187647+05:30,16384,2646016
2025-11-14T23:35:44.0431536+05:30,16384,2646016
2025-11-14T23:35:45.0567318+05:30,16384,2646016
2025-11-14T23:35:46.0695334+05:30,16384,2646016
2025-11-14T23:35:47.0856484+05:30,16384,2646016
2025-11-14T23:35:48.1020833+05:30,16384,2646016
2025-11-14T23:35:49.1663320+05:30,16384,2646016
2025-11-14T23:35:50.1795177+05:30,16384,2646016
2025-11-14T23:35:51.1928549+05:30,16384,2646016
2025-11-14T23:35:52.2085119+05:30,16384,2646016
2025-11-14T23:35:53.2254815+05:30,16384,2646016
2025-11-14T23:35:54.2380028+05:30,16384,2646016
2025-11-14T23:35:55.2566869+05:30,16384,2646016
2025-11-14T23:35:56.2730227+05:30,16384,2646016
2025-11-14T23:35:57.2825804+05:30,16384,2646016
2025-11-14T23:35:58.3008739+05:30,16384,2646016
2025-11-14T23:35:59.3142538+05:30,16384,2646016
2025-11-14T23:36:00.3274257+05:30,16384,2646016
2025-11-14T23:36:01.3424023+05:30,16384,2646016
2025-11-14T23:36:02.3571902+05:30,16384,2646016
